name           ,selector                    ,type        ,hidden ,width ,editable ,decimals ,isPill ,align  ,cn ,domain ,range ,searchable ,detail ,sortable ,underField           ,onDisplay     ,onAccept ,onValidate
Compressed     ,compressedTx                ,string      ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,           ,true   ,         ,                     ,getFieldValue ,         ,
Sep3           ,separator3                  ,separator   ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,           ,true   ,         ,                     ,              ,         ,
Age            ,age                         ,blknum      ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,           ,       ,         ,                     ,              ,         ,
Encoding       ,encoding                    ,hash        ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,           ,       ,         ,                     ,              ,         ,
Receipt        ,receipt                     ,CReceipt    ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,           ,       ,         ,                     ,              ,         ,
Articulated Tx ,articulatedTx               ,CFunction   ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,true       ,       ,         ,                     ,              ,         ,
Traces         ,traces                      ,CTraceArray ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,           ,       ,         ,                     ,              ,         ,
Block Hash     ,blockHash                   ,hash        ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,           ,       ,         ,                     ,              ,         ,
Blk            ,blockNumber                 ,blknum      ,true   ,1     ,         ,         ,       ,       ,   ,       ,      ,           ,       ,         ,                     ,              ,         ,
Tx             ,transactionIndex            ,string      ,true   ,1     ,         ,         ,       ,       ,   ,       ,      ,           ,       ,         ,                     ,              ,         ,
Timestamp      ,timestamp                   ,timestamp   ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,           ,       ,         ,                     ,              ,         ,
Hash           ,hash                        ,hash        ,true   ,5     ,         ,         ,       ,       ,   ,       ,      ,true       ,       ,         ,                     ,              ,         ,
Nonce          ,nonce                       ,blknum      ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,           ,       ,         ,                     ,              ,         ,
Input          ,input                       ,string      ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,           ,       ,         ,                     ,              ,         ,
Finalized      ,finalized                   ,bool        ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,           ,       ,         ,                     ,              ,         ,
Function       ,function                    ,string      ,true   ,5     ,         ,         ,       ,       ,   ,       ,      ,true       ,       ,         ,                     ,getFieldValue ,         ,
Events         ,events                      ,string      ,true   ,3     ,         ,         ,       ,       ,   ,       ,      ,           ,       ,         ,                     ,              ,         ,
Price          ,price                       ,double      ,true   ,3     ,         ,         ,       ,       ,   ,       ,      ,           ,       ,         ,                     ,              ,         ,
Date Short     ,datesh                      ,string      ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,           ,       ,         ,                     ,              ,         ,
Time           ,time                        ,string      ,true   ,      ,         ,         ,       ,       ,   ,       ,      ,           ,       ,         ,                     ,              ,         ,
Error          ,isError                     ,string      ,true   ,1     ,         ,         ,true   ,       ,   ,       ,      ,           ,       ,         ,                     ,              ,         ,
Internal       ,internal                    ,string      ,true   ,2     ,         ,         ,       ,center ,   ,       ,      ,           ,       ,         ,                     ,getFieldValue ,         ,
